q000.rq,1,1,1,0,0,0
q001.rq,1,1,1,0,0,0
q003.rq,2,2,2,0,0,0
q005.rq,1,1,1,0,0,0
q006.rq,2,1,2,0,0,0
q011.rq,2,2,2,0,0,0
q012.rq,1,2,1,0,0,0
q013.rq,5,5,5,0,0,0
q016.rq,1,2,1,0,0,0
q018.rq,4,3,4,0,0,0
q028.rq,2,2,2,0,0,0
q030.rq,2,2,2,0,0,0
q031.rq,3,4,3,0,0,0
q032.rq,1,2,1,0,0,0
q043.rq,1,1,1,0,0,0
q048.rq,3,3,3,0,0,0
q053.rq,3,3,3,0,1,0
q054.rq,3,3,2,0,0,0
q057.rq,3,3,3,0,1,0
q058.rq,3,3,3,0,0,0
q059.rq,2,2,2,0,0,0
q061.rq,1,1,1,0,0,0
q062.rq,1,2,1,0,0,0
q064.rq,2,2,2,0,1,0
q067.rq,4,3,4,0,0,0
q069.rq,2,2,2,0,0,0
q070.rq,3,3,3,0,0,0
q071.rq,4,3,4,0,0,0
q072.rq,4,3,3,0,1,0
q076.rq,3,3,2,0,0,0
q078.rq,4,5,3,0,0,1
q079.rq,2,3,2,0,0,1
q080.rq,2,3,2,0,0,1
q082.rq,5,5,5,0,0,0
q091.rq,3,3,3,0,1,0
q098.rq,2,3,2,0,0,0
q099.rq,2,3,2,0,0,0
q103.rq,3,2,2,0,0,0
q107.rq,1,2,1,0,0,0
q111.rq,2,2,2,0,0,0
q116.rq,5,3,4,0,0,0
q121.rq,5,3,3,0,0,0
q122.rq,4,3,4,0,0,0
q124.rq,1,2,1,0,0,0
q125.rq,1,2,1,0,0,0
q133.rq,2,2,2,0,0,0
q137.rq,3,3,3,0,0,0
q138.rq,3,3,3,0,1,0
q139.rq,1,2,1,0,0,0
q142.rq,6,5,6,1,1,0
q143.rq,2,3,2,0,0,0
q144.rq,1,2,1,0,0,0
q147.rq,3,3,3,0,0,0
q148.rq,2,3,2,0,0,0
q149.rq,2,3,2,0,0,1
q152.rq,3,5,3,0,0,1
q153.rq,2,2,2,0,0,0
q157.rq,2,2,2,0,0,0
q158.rq,7,5,5,0,0,1
q159.rq,2,3,2,0,0,0
q160.rq,3,4,3,0,0,1
q168.rq,3,3,3,0,0,0
q171.rq,3,3,3,0,0,0
q172.rq,3,2,3,0,0,0
q173.rq,3,3,3,0,1,0
q174.rq,2,2,2,0,1,0
q178.rq,2,1,2,0,0,0
q181.rq,3,3,3,0,0,0
q182.rq,6,6,6,0,0,0
q183.rq,5,5,5,0,0,0
q184.rq,3,3,3,0,1,0
q186.rq,1,2,1,0,0,0
q187.rq,2,3,1,0,0,0
q188.rq,1,2,1,0,0,0
q193.rq,2,2,2,0,0,0
q195.rq,3,3,3,0,0,0
q196.rq,5,6,5,0,0,0
q197.rq,2,2,2,0,0,0
q199.rq,2,2,2,0,0,0
q200.rq,3,3,3,0,0,0
q202.rq,2,2,2,0,0,1
q204.rq,2,2,2,0,0,0
q205.rq,3,3,3,0,0,0
q208.rq,2,3,2,0,0,0
q213.rq,4,1,2,1,0,0
q214.rq,2,2,2,0,0,0
q215.rq,4,4,4,0,1,0
q216.rq,1,1,1,0,0,0
q217.rq,2,2,2,0,1,0
q218.rq,2,2,2,0,0,0
q220.rq,3,3,3,0,1,0
q224.rq,3,3,3,0,0,0
q225.rq,2,2,2,0,0,0
q229.rq,4,3,4,0,1,0
q231.rq,4,5,4,0,1,1
q233.rq,2,2,2,0,0,0
q234.rq,2,3,2,0,1,0
q236.rq,3,2,3,0,0,0
q237.rq,3,3,3,0,0,0
q239.rq,2,2,2,0,0,0
q242.rq,4,4,4,0,0,0
q245.rq,5,4,4,0,1,0
q246.rq,7,6,6,0,1,0
q252.rq,1,1,1,0,0,0
q253.rq,5,4,5,0,1,0
q256.rq,5,4,5,0,1,0
q257.rq,6,4,5,1,1,0
q258.rq,6,6,6,0,1,0
q260.rq,1,1,1,0,0,0
q261.rq,1,1,1,0,0,0
q262.rq,1,1,1,0,0,0
q271.rq,5,5,5,0,0,0
q272.rq,2,3,2,0,0,1
q273.rq,1,2,1,0,0,0
q275.rq,2,3,2,0,0,0
q276.rq,1,2,1,0,0,0
q282.rq,3,3,3,0,1,0
q283.rq,5,5,5,0,1,0
q284.rq,3,2,3,0,0,0
q285.rq,3,3,3,0,0,0
q286.rq,6,6,6,0,1,0
q287.rq,1,2,1,0,0,0
q291.rq,5,4,4,0,0,0
q292.rq,6,4,5,0,0,0
q293.rq,2,2,2,0,0,0
q296.rq,3,3,3,0,0,0
q297.rq,4,4,4,0,0,0
q301.rq,2,2,2,0,0,0
q304.rq,1,1,1,0,0,0
q306.rq,2,2,2,0,1,0
q309.rq,3,3,2,0,0,0
q311.rq,3,1,3,0,0,0
q312.rq,3,1,3,0,0,0
q314.rq,4,2,4,0,1,0
q315.rq,5,3,5,0,0,0
q319.rq,2,2,2,0,1,0
q320.rq,4,2,3,1,0,0
q321.rq,4,3,3,1,0,0
q323.rq,3,3,3,1,0,0
q324.rq,2,3,2,0,0,0
q325.rq,2,3,2,0,0,0
